Outcome,Probability
HHTHTHHHT,0.001953
TTHHTHHHT,0.001953
HTHHTHHHT,0.001953
THHHTHHHT,0.001953
HHHHTHHHT,0.001953
TTTTHHHHT,0.001953
HTTTHHHHT,0.001953
THTTHHHHT,0.001953
HHTTHHHHT,0.001953
TTHTHHHHT,0.001953
HTHTHHHHT,0.001953
THHTHHHHT,0.001953
HHHTHHHHT,0.001953
TTTHHHHHT,0.001953
HTTHHHHHT,0.001953
THTHHHHHT,0.001953
HHTHHHHHT,0.001953
TTHHHHHHT,0.001953
HTHHHHHHT,0.001953
THHHHHHHT,0.001953
HHHHHHHHT,0.001953
TTTTTTTTH,0.001953
HTTTTTTTH,0.001953
THTTTTTTH,0.001953
HHTTTTTTH,0.001953
TTHTTTTTH,0.001953
HTHTTTTTH,0.001953
THHTTTTTH,0.001953
HHHTTTTTH,0.001953
TTTHTTTTH,0.001953
HTTHTTTTH,0.001953
THTHTTTTH,0.001953
HHTHTTTTH,0.001953
TTHHTTTTH,0.001953
HTHHTTTTH,0.001953
THHHTTTTH,0.001953
HHHHTTTTH,0.001953
TTTTHTTTH,0.001953
HTTTHTTTH,0.001953
THTTHTTTH,0.001953
HHTTHTTTH,0.001953
TTHTHTTTH,0.001953
HTHTHTTTH,0.001953
THHTHTTTH,0.001953
HHHTHTTTH,0.001953
TTTHHTTTH,0.001953
HTTHHTTTH,0.001953
THTHHTTTH,0.001953
HHTHHTTTH,0.001953
TTHHHTTTH,0.001953
HTHHHTTTH,0.001953
THHHHTTTH,0.001953
HHHHHTTTH,0.001953
TTTTTHTTH,0.001953
HTTTTHTTH,0.001953
THTTTHTTH,0.001953
HHTTTHTTH,0.001953
TTHTTHTTH,0.001953
HTHTTHTTH,0.001953
THHTTHTTH,0.001953
HHHTTHTTH,0.001953
TTTHTHTTH,0.001953
HTTHTHTTH,0.001953
THTHTHTTH,0.001953
HHTHTHTTH,0.001953
TTHHTHTTH,0.001953
HTHHTHTTH,0.001953
THHHTHTTH,0.001953
HHHHTHTTH,0.001953
TTTTHHTTH,0.001953
HTTTHHTTH,0.001953
THTTHHTTH,0.001953
HHTTHHTTH,0.001953
TTHTHHTTH,0.001953
HTHTHHTTH,0.001953
THHTHHTTH,0.001953
HHHTHHTTH,0.001953
TTTHHHTTH,0.001953
HTTHHHTTH,0.001953
THTHHHTTH,0.001953
HHTHHHTTH,0.001953
TTHHHHTTH,0.001953
HTHHHHTTH,0.001953
THHHHHTTH,0.001953
